horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
2,rf_roll3_caret_cv,0.7463979916599327,0.7890035825790979,0.2892753153031843,1,variance,20,Fold5
2,rf_roll3_caret_cv,0.8038001516054445,0.7280100687136576,0.3263764907439835,1,variance,5,Fold6
2,rf_roll3_caret_cv,0.7951229078412143,0.7354147199366858,0.32508607574968185,1,variance,10,Fold6
2,rf_roll3_caret_cv,0.7793756320022506,0.7476935258545753,0.32191985943456536,1,variance,20,Fold6
2,rf_roll3_caret_cv,0.6620159641768701,0.8196002875970915,0.27194480910118174,1,variance,5,Fold7
2,rf_roll3_caret_cv,0.6551914703992615,0.8246741985372541,0.270676892062406,1,variance,10,Fold7
2,rf_roll3_caret_cv,0.652172328746609,0.8299306228290196,0.2712073421245947,1,variance,20,Fold7
2,rf_roll3_caret_cv,0.648710601681905,0.8226176213368015,0.2662749941825,1,variance,5,Fold8
2,rf_roll3_caret_cv,0.6413375795170365,0.8278803764859011,0.26420243696702117,1,variance,10,Fold8
2,rf_roll3_caret_cv,0.6352937339866075,0.8330613146424989,0.26341451411431205,1,variance,20,Fold8
2,rf_roll3_caret_cv,0.6643973901572733,0.8177191138270472,0.2719966960009796,1,variance,5,Fold9
2,rf_roll3_caret_cv,0.6500691532167608,0.827704361730714,0.2700592544574883,1,variance,10,Fold9
2,rf_roll3_caret_cv,0.6367765471482342,0.8370728989862749,0.2669689682326693,1,variance,20,Fold9
3,rf_roll3_caret_cv,0.7433123172049102,0.670289023528842,0.2689886872055509,1,variance,5,Fold1
3,rf_roll3_caret_cv,0.7355374420399545,0.6775068176075381,0.2670212417827217,1,variance,10,Fold1
3,rf_roll3_caret_cv,0.7251833173080826,0.6873934894086713,0.2638530853337543,1,variance,20,Fold1
3,rf_roll3_caret_cv,0.7258767016663534,0.7807092851749485,0.28927080751639017,1,variance,5,Fold10
3,rf_roll3_caret_cv,0.7169902138555545,0.7867640413355429,0.2875747341808377,1,variance,10,Fold10
3,rf_roll3_caret_cv,0.709019494817102,0.7924883592087,0.2850800346548726,1,variance,20,Fold10
