horizon,model,RMSE,Rsquared,MAE,mtry,splitrule,min.node.size,Resample
2,rf_lag123_caret_cv,0.6469079097807451,0.8326613594437318,0.2495151014730859,1,variance,5,Fold4
2,rf_lag123_caret_cv,0.6620023210328995,0.8219222317711518,0.24348718249220297,2,variance,5,Fold4
2,rf_lag123_caret_cv,0.6682641001222052,0.8177744675587637,0.24381727411652937,3,variance,5,Fold4
2,rf_lag123_caret_cv,0.6966068486734608,0.8068869075156903,0.28075971980312214,1,variance,5,Fold5
2,rf_lag123_caret_cv,0.7238562067103268,0.7903620701253593,0.27898886767867404,2,variance,5,Fold5
2,rf_lag123_caret_cv,0.7354821308700956,0.7833508234716412,0.27900482008633515,3,variance,5,Fold5
2,rf_lag123_caret_cv,0.6615198711102164,0.8129222772787468,0.275638195749715,1,variance,5,Fold6
2,rf_lag123_caret_cv,0.6764641708773169,0.8037177464619472,0.2723864012263666,2,variance,5,Fold6
2,rf_lag123_caret_cv,0.689078926191586,0.7962647595993393,0.2745661058940438,3,variance,5,Fold6
2,rf_lag123_caret_cv,0.591501633485455,0.8544585340695781,0.2523627990200503,1,variance,5,Fold7
2,rf_lag123_caret_cv,0.6048023007856862,0.8458917588213821,0.24785767191687957,2,variance,5,Fold7
2,rf_lag123_caret_cv,0.6109037748044635,0.842232416644557,0.2487163718220012,3,variance,5,Fold7
2,rf_lag123_caret_cv,0.53296278439025635,0.8740789025598221,0.2298754995540177,1,variance,5,Fold8
2,rf_lag123_caret_cv,0.5492778245033001,0.8653697973915042,0.2265733833430845,2,variance,5,Fold8
2,rf_lag123_caret_cv,0.5609853861248375,0.8592741977764979,0.22868543483530204,3,variance,5,Fold8
2,rf_lag123_caret_cv,0.5591210537594393,0.86675707567534,0.2378736487471411,1,variance,5,Fold9
2,rf_lag123_caret_cv,0.5677801042732669,0.8615200190469058,0.2322260691421882,2,variance,5,Fold9
2,rf_lag123_caret_cv,0.5729113879606262,0.858621206093554,0.2320848456458742,3,variance,5,Fold9
3,rf_lag123_caret_cv,0.6676806155619942,0.7337951886273778,0.24201336490334177,1,variance,5,Fold1
3,rf_lag123_caret_cv,0.6715380308711939,0.7304821233367084,0.2339333862397527,2,variance,5,Fold1
3,rf_lag123_caret_cv,0.6787690157540446,0.7246771494452664,0.23418645074386277,3,variance,5,Fold1
3,rf_lag123_caret_cv,0.6609861349819945,0.8160433711287505,0.2699595697007457,1,variance,5,Fold10
3,rf_lag123_caret_cv,0.6723018337246025,0.8094732806824558,0.2676614845643832,2,variance,5,Fold10
3,rf_lag123_caret_cv,0.678729267951911,0.8058413392521454,0.2691633528163091,3,variance,5,Fold10
